Url /tour/hotel-search/nearby-scenic/query
 Date 8
Hour 23 183
Date 19
Hour 0 151
Hour 1 150
Hour 2 114
Hour 3 116
Hour 4 120
Hour 5 99
Hour 6 129
Hour 7 155
Hour 8 149
Hour 9 153
Hour 10 301
Hour 11 301
Hour 12 252
Hour 13 226
Hour 14 223
Hour 15 239
Hour 16 212
Hour 17 225
Hour 18 159
Hour 19 170
Hour 20 188
Hour 21 211
Hour 22 225
Hour 23 223
Date 20
Hour 0 102
Hour 1 143
Hour 2 133
Hour 3 183
Hour 4 201
Hour 5 173
Hour 6 155
Hour 7 199
Hour 8 185
Hour 9 217
Hour 10 192
Hour 11 196
Hour 12 232
Hour 13 220
Hour 14 246
Hour 15 227
Hour 16 230
Hour 17 237
Hour 18 204
Hour 19 174
Hour 20 185
Hour 21 218
Hour 22 233
Hour 23 162
Date 21
Hour 0 115
Hour 1 124
Hour 2 95
Hour 3 175
Hour 4 214
Hour 5 184
Hour 6 178
Hour 7 159
Hour 8 178
Hour 9 176
Hour 10 212
Hour 11 204
Hour 12 238
Hour 13 234
Hour 14 247
Hour 15 260
Hour 16 233
Hour 17 283
Hour 18 226
Hour 19 233
Hour 20 276
Hour 21 253
Hour 22 254
Hour 23 191
Date 22
Hour 0 127
Hour 1 111
Hour 2 96
Hour 3 103
Hour 4 214
Hour 5 237
Hour 6 199
Hour 7 230
Hour 8 206
Hour 9 216
Hour 10 267
Hour 11 275
Hour 12 234
Hour 13 248
Hour 14 226
Hour 15 227
Hour 16 253
Hour 17 251
Hour 18 217
Hour 19 221
Hour 20 268
Hour 21 268
Hour 22 272
Hour 23 217
Url /tour/guide/update
 Date 8
Hour 0 1
Hour 1 2
Hour 2 3
Hour 3 3
Hour 4 6
Hour 5 8
Hour 6 5
Hour 7 5
Hour 8 14
Hour 9 9
Hour 10 7
Hour 11 10
Hour 12 8
Hour 13 4
Hour 14 13
Hour 15 19
Hour 16 14
Hour 17 11
Hour 18 8
Hour 19 7
Hour 20 13
Hour 21 3
Hour 22 13
Hour 23 6
Date 9
Hour 0 7
Hour 1 2
Hour 2 0
Hour 3 5
Hour 4 9
Hour 5 8
Hour 6 6
Hour 7 6
Hour 8 6
Hour 9 19
Hour 10 11
Hour 11 6
Hour 12 5
Hour 13 15
Hour 14 14
Hour 15 15
Hour 16 21
Hour 17 9
Hour 18 13
Hour 19 17
Hour 20 21
Hour 21 13
Hour 22 14
Hour 23 13
Date 10
Hour 0 6
Hour 1 10
Hour 2 8
Hour 3 7
Hour 4 15
Hour 5 22
Hour 6 25
Hour 7 19
Hour 8 17
Hour 9 8
Hour 10 12
Hour 11 10
Hour 12 10
Hour 13 11
Hour 14 16
Hour 15 19
Hour 16 19
Hour 17 18
Hour 18 1
Hour 19 3
Hour 20 10
Hour 21 9
Hour 22 5
Hour 23 4
Date 11
Hour 0 2
Hour 1 0
Hour 2 2
Hour 3 5
Hour 4 3
Hour 5 3
Hour 6 4
Hour 7 10
Hour 8 21
Hour 9 13
Hour 10 23
Hour 11 17
Hour 12 11
Hour 13 11
Hour 14 12
Hour 15 19
Hour 16 12
Hour 17 8
Hour 18 10
Hour 19 8
Hour 20 8
Hour 21 11
Hour 22 10
Hour 23 13
Date 12
Hour 0 6
Hour 1 5
Hour 2 8
Hour 3 3
Hour 4 7
Hour 5 6
Hour 6 11
Hour 7 31
Hour 8 30
Hour 9 25
Hour 10 20
Hour 11 3
Hour 12 17
Hour 13 14
Hour 14 12
Hour 15 17
Hour 16 12
Hour 17 5
Hour 18 16
Hour 19 14
Hour 20 13
Hour 21 9
Hour 22 5
Hour 23 5
Date 13
Hour 0 3
Hour 1 3
Hour 2 2
Hour 3 1
Hour 4 0
Hour 5 2
Hour 6 0
Hour 7 1
Hour 8 2
Hour 9 2
Hour 10 4
Hour 11 6
Hour 12 7
Hour 13 1
Hour 14 3
Hour 15 4
Hour 16 1
Hour 17 1
Hour 18 3
Hour 19 3
Hour 20 1
Hour 21 3
Hour 22 2
Hour 23 4
Date 14
Hour 0 2
Hour 1 1
Hour 2 3
Hour 3 1
Hour 4 4
Hour 5 1
Hour 6 2
Hour 7 0
Hour 8 4
Hour 9 20
Hour 10 14
Hour 11 11
Hour 12 12
Hour 13 11
Hour 14 7
Hour 15 22
Hour 16 16
Hour 17 15
Hour 18 7
Hour 19 14
Hour 20 5
Hour 21 7
Hour 22 14
Hour 23 14
Date 15
Hour 0 14
Hour 1 16
Hour 2 1
Hour 3 3
Hour 4 4
Hour 5 20
Hour 6 3
Hour 7 16
Hour 8 11
Hour 9 32
Hour 10 29
Hour 11 12
Hour 12 11
Hour 13 24
Hour 14 0
Hour 15 18
Hour 16 16
Hour 17 20
Hour 18 24
Hour 19 22
Hour 20 12
Hour 21 7
Hour 22 1
Hour 23 9
Date 16
Hour 0 2
Hour 1 5
Hour 2 1
Hour 3 12
Hour 4 6
Hour 5 5
Hour 6 10
Hour 7 12
Hour 8 15
Hour 9 27
Hour 10 11
Hour 11 15
Hour 12 14
Hour 13 30
Hour 14 25
Hour 15 30
Hour 16 33
Hour 17 21
Hour 18 4
Hour 19 17
Hour 20 11
Hour 21 8
Hour 22 11
Hour 23 3
Date 17
Hour 0 1
Hour 1 3
Hour 2 0
Hour 3 0
Hour 4 0
Hour 5 0
Hour 6 3
Hour 7 6
Hour 8 3
Hour 9 13
Hour 10 11
Hour 11 5
Hour 12 12
Hour 13 6
Hour 14 17
Hour 15 6
Hour 16 9
Hour 17 9
Hour 18 9
Hour 19 6
Hour 20 8
Hour 21 7
Hour 22 11
Hour 23 4
Date 18
Hour 0 11
Hour 1 18
Hour 2 1
Hour 3 4
Hour 4 5
Hour 5 3
Hour 6 0
Hour 7 2
Hour 8 3
Hour 9 7
Hour 10 14
Hour 11 15
Hour 12 7
Hour 13 7
Hour 14 14
Hour 15 15
Hour 16 11
Hour 17 13
Hour 18 11
Hour 19 3
Hour 20 13
Hour 21 4
Hour 22 10
Hour 23 2
Date 19
Hour 0 0
Hour 1 2
Hour 2 0
Hour 3 0
Hour 4 0
Hour 5 0
Hour 6 0
Hour 7 1
Hour 8 3
Hour 9 5
Hour 10 4
Hour 11 9
Hour 12 3
Hour 13 10
Hour 14 5
Hour 15 6
Hour 16 17
Hour 17 16
Hour 18 12
Hour 19 18
Hour 20 12
Hour 21 6
Hour 22 10
Hour 23 3
Date 20
Hour 0 4
Hour 1 9
Hour 2 23
Hour 3 7
Hour 4 3
Hour 5 13
Hour 6 22
Hour 7 23
Hour 8 23
Hour 9 16
Hour 10 9
Hour 11 4
Hour 12 8
Hour 13 14
Hour 14 16
Hour 15 22
Hour 16 7
Hour 17 9
Hour 18 3
Hour 19 1
Hour 20 1
Hour 21 12
Hour 22 2
Hour 23 6
Date 21
Hour 0 4
Hour 1 5
Hour 2 9
Hour 3 11
Hour 4 1
Hour 5 4
Hour 6 16
Hour 7 30
Hour 8 24
Hour 9 24
Hour 10 22
Hour 11 38
Hour 12 12
Hour 13 18
Hour 14 15
Hour 15 22
Hour 16 20
Hour 17 17
Hour 18 10
Hour 19 29
Hour 20 6
Hour 21 13
Hour 22 4
Hour 23 4
Date 22
Hour 0 1
Hour 1 7
Hour 2 0
Hour 3 4
Hour 4 2
Hour 5 8
Hour 6 0
Hour 7 2
Hour 8 2
Hour 9 13
Hour 10 6
Hour 11 7
Hour 12 10
Hour 13 12
Hour 14 12
Hour 15 19
Hour 16 8
Hour 17 12
Hour 18 1
Hour 19 9
Hour 20 6
Hour 21 4
Hour 22 3
Hour 23 4
Url /tour/category/scenic/query
 Date 8
Hour 0 12
Hour 1 7
Hour 2 15
Hour 3 13
Hour 4 14
Hour 5 12
Hour 6 19
Hour 7 16
Hour 8 12
Hour 9 13
Hour 10 13
Hour 11 11
Hour 12 17
Hour 13 16
Hour 14 14
Hour 15 12
Hour 16 13
Hour 17 11
Hour 18 13
Hour 19 14
Hour 20 9
Hour 21 8
Hour 22 13
Hour 23 7
Date 9
Hour 0 8
Hour 1 12
Hour 2 14
Hour 3 8
Hour 4 10
Hour 5 17
Hour 6 14
Hour 7 16
Hour 8 14
Hour 9 15
Hour 10 11
Hour 11 11
Hour 12 15
Hour 13 11
Hour 14 14
Hour 15 14
Hour 16 16
Hour 17 13
Hour 18 8
Hour 19 9
Hour 20 10
Hour 21 13
Hour 22 7
Hour 23 18
Date 10
Hour 0 13
Hour 1 10
Hour 2 16
Hour 3 10
Hour 4 16
Hour 5 12
Hour 6 15
Hour 7 12
Hour 8 17
Hour 9 16
Hour 10 15
Hour 11 19
Hour 12 16
Hour 13 10
Hour 14 12
Hour 15 19
Hour 16 10
Hour 17 19
Hour 18 18
Hour 19 11
Hour 20 16
Hour 21 18
Hour 22 12
Hour 23 15
Date 11
Hour 0 10
Hour 1 13
Hour 2 12
Hour 3 9
Hour 4 17
Hour 5 17
Hour 6 20
Hour 7 22
Hour 8 11
Hour 9 14
Hour 10 18
Hour 11 16
Hour 12 19
Hour 13 13
Hour 14 16
Hour 15 13
Hour 16 14
Hour 17 15
Hour 18 15
Hour 19 18
Hour 20 11
Hour 21 17
Hour 22 15
Hour 23 11
Date 12
Hour 0 13
Hour 1 20
Hour 2 11
Hour 3 17
Hour 4 14
Hour 5 14
Hour 6 15
Hour 7 12
Hour 8 12
Hour 9 13
Hour 10 17
Hour 11 10
Hour 12 12
Hour 13 11
Hour 14 14
Hour 15 17
Hour 16 15
Hour 17 13
Hour 18 18
Hour 19 15
Hour 20 11
Hour 21 13
Hour 22 18
Hour 23 12
Date 13
Hour 0 14
Hour 1 7
Hour 2 19
Hour 3 13
Hour 4 14
Hour 5 12
Hour 6 14
Hour 7 8
Hour 8 9
Hour 9 13
Hour 10 18
Hour 11 8
Hour 12 15
Hour 13 16
Hour 14 10
Hour 15 11
Hour 16 20
Hour 17 19
Hour 18 10
Hour 19 14
Hour 20 14
Hour 21 13
Hour 22 12
Hour 23 14
Date 14
Hour 0 15
Hour 1 19
Hour 2 10
Hour 3 14
Hour 4 16
Hour 5 15
Hour 6 12
Hour 7 9
Hour 8 8
Hour 9 10
Hour 10 23
Hour 11 13
Hour 12 16
Hour 13 17
Hour 14 12
Hour 15 14
Hour 16 7
Hour 17 13
Hour 18 10
Hour 19 9
Hour 20 19
Hour 21 14
Hour 22 15
Hour 23 18
Date 15
Hour 0 28
Hour 1 16
Hour 2 19
Hour 3 15
Hour 4 15
Hour 5 12
Hour 6 7
Hour 7 12
Hour 8 9
Hour 9 13
Hour 10 14
Hour 11 18
Hour 12 16
Hour 13 12
Hour 14 4
Hour 15 7
Hour 16 15
Hour 17 15
Hour 18 14
Hour 19 12
Hour 20 14
Hour 21 14
Hour 22 16
Hour 23 13
Date 16
Hour 0 12
Hour 1 7
Hour 2 13
Hour 3 13
Hour 4 11
Hour 5 14
Hour 6 21
Hour 7 15
Hour 8 16
Hour 9 10
Hour 10 11
Hour 11 22
Hour 12 13
Hour 13 20
Hour 14 14
Hour 15 20
Hour 16 13
Hour 17 12
Hour 18 11
Hour 19 19
Hour 20 15
Hour 21 15
Hour 22 9
Hour 23 17
Date 17
Hour 0 12
Hour 1 9
Hour 2 18
Hour 3 17
Hour 4 12
Hour 5 16
Hour 6 18
Hour 7 7
Hour 8 16
Hour 9 17
Hour 10 17
Hour 11 7
Hour 12 11
Hour 13 13
Hour 14 12
Hour 15 15
Hour 16 13
Hour 17 13
Hour 18 13
Hour 19 12
Hour 20 12
Hour 21 15
Hour 22 8
Hour 23 14
Date 18
Hour 0 13
Hour 1 15
Hour 2 15
Hour 3 14
Hour 4 13
Hour 5 13
Hour 6 23
Hour 7 20
Hour 8 12
Hour 9 15
Hour 10 17
Hour 11 11
Hour 12 12
Hour 13 18
Hour 14 8
Hour 15 15
Hour 16 11
Hour 17 14
Hour 18 16
Hour 19 18
Hour 20 16
Hour 21 12
Hour 22 12
Hour 23 12
Date 19
Hour 0 8
Hour 1 14
Hour 2 17
Hour 3 15
Hour 4 16
Hour 5 14
Hour 6 18
Hour 7 11
Hour 8 16
Hour 9 13
Hour 10 14
Hour 11 15
Hour 12 19
Hour 13 9
Hour 14 11
Hour 15 8
Hour 16 11
Hour 17 15
Hour 18 8
Hour 19 10
Hour 20 17
Hour 21 14
Hour 22 10
Hour 23 14
Date 20
Hour 0 11
Hour 1 15
Hour 2 12
Hour 3 14
Hour 4 19
Hour 5 11
Hour 6 20
Hour 7 17
Hour 8 11
Hour 9 12
Hour 10 16
Hour 11 12
Hour 12 10
Hour 13 18
Hour 14 16
Hour 15 16
Hour 16 13
Hour 17 16
Hour 18 15
Hour 19 13
Hour 20 11
Hour 21 12
Hour 22 14
Hour 23 13
Date 21
Hour 0 7
Hour 1 10
Hour 2 14
Hour 3 13
Hour 4 12
Hour 5 17
Hour 6 15
Hour 7 13
Hour 8 15
Hour 9 9
Hour 10 16
Hour 11 16
Hour 12 19
Hour 13 9
Hour 14 15
Hour 15 11
Hour 16 13
Hour 17 16
Hour 18 14
Hour 19 15
Hour 20 12
Hour 21 11
Hour 22 18
Hour 23 9
Date 22
Hour 0 10
Hour 1 10
Hour 2 8
Hour 3 21
Hour 4 12
Hour 5 14
Hour 6 9
Hour 7 14
Hour 8 15
Hour 9 7
Hour 10 15
Hour 11 7
Hour 12 14
Hour 13 14
Hour 14 18
Hour 15 14
Hour 16 14
Hour 17 8
Hour 18 18
Hour 19 21
Hour 20 17
Hour 21 9
Hour 22 12
Hour 23 14
Url /tour/category/weekendproduct/query
 Date 8
Hour 0 611
Hour 1 599
Hour 2 99
Hour 3 64
Hour 4 57
Hour 5 84
Hour 6 213
Hour 7 470
Hour 8 574
Hour 9 1205
Hour 10 1277
Hour 11 1442
Hour 12 1469
Hour 13 1292
Hour 14 1347
Hour 15 1336
Hour 16 1447
Hour 17 1358
Hour 18 1106
Hour 19 1320
Hour 20 1606
Hour 21 1799
Hour 22 1645
Hour 23 1154
Date 9
Hour 0 746
Hour 1 626
Hour 2 477
Hour 3 58
Hour 4 51
Hour 5 64
Hour 6 226
Hour 7 451
Hour 8 626
Hour 9 1026
Hour 10 1006
Hour 11 1130
Hour 12 1090
Hour 13 966
Hour 14 927
Hour 15 951
Hour 16 934
Hour 17 888
Hour 18 935
Hour 19 1201
Hour 20 1394
Hour 21 1561
Hour 22 1578
Hour 23 1355
Date 10
Hour 0 434
Hour 1 204
Hour 2 96
Hour 3 66
Hour 4 65
Hour 5 86
Hour 6 255
Hour 7 401
Hour 8 550
Hour 9 704
Hour 10 880
Hour 11 946
Hour 12 1028
Hour 13 1233
Hour 14 1330
Hour 15 1340
Hour 16 1421
Hour 17 1210
Hour 18 1293
Hour 19 1444
Hour 20 1448
Hour 21 1574
Hour 22 1627
Hour 23 1313
Date 11
Hour 0 782
Hour 1 660
Hour 2 192
Hour 3 86
Hour 4 31
Hour 5 113
Hour 6 273
Hour 7 446
Hour 8 592
Hour 9 1010
Hour 10 960
Hour 11 1045
Hour 12 959
Hour 13 941
Hour 14 834
Hour 15 932
Hour 16 939
Hour 17 923
Hour 18 876
Hour 19 1098
Hour 20 1357
Hour 21 1558
Hour 22 1674
Hour 23 1287
Date 12
Hour 0 550
Hour 1 297
Hour 2 243
Hour 3 63
Hour 4 59
Hour 5 95
Hour 6 315
Hour 7 594
Hour 8 852
Hour 9 1398
Hour 10 1384
Hour 11 1083
Hour 12 1110
Hour 13 1537
Hour 14 1036
Hour 15 1073
Hour 16 1038
Hour 17 997
Hour 18 1095
Hour 19 1389
Hour 20 1196
Hour 21 1404
Hour 22 1514
Hour 23 1098
Date 13
Hour 0 654
Hour 1 312
Hour 2 161
Hour 3 114
Hour 4 80
Hour 5 79
Hour 6 275
Hour 7 502
Hour 8 891
Hour 9 1003
Hour 10 1100
Hour 11 1126
Hour 12 1068
Hour 13 974
Hour 14 1040
Hour 15 1056
Hour 16 970
Hour 17 1038
Hour 18 951
Hour 19 1103
Hour 20 1308
Hour 21 1559
Hour 22 1506
Hour 23 1022
Date 14
Hour 0 436
Hour 1 254
Hour 2 136
Hour 3 113
Hour 4 107
Hour 5 138
Hour 6 257
Hour 7 359
Hour 8 513
Hour 9 696
Hour 10 765
Hour 11 1068
Hour 12 1152
Hour 13 1132
Hour 14 1108
Hour 15 1156
Hour 16 1025
Hour 17 975
Hour 18 964
Hour 19 1120
Hour 20 1353
Hour 21 1676
Hour 22 1595
Hour 23 1216
Date 15
Hour 0 982
Hour 1 259
Hour 2 199
Hour 3 70
Hour 4 47
Hour 5 69
Hour 6 248
Hour 7 441
Hour 8 598
Hour 9 753
Hour 10 909
Hour 11 1151
Hour 12 1049
Hour 13 865
Hour 14 1045
Hour 15 1090
Hour 16 1127
Hour 17 1075
Hour 18 1002
Hour 19 1267
Hour 20 1456
Hour 21 1753
Hour 22 1628
Hour 23 1069
Date 16
Hour 0 570
Hour 1 358
Hour 2 195
Hour 3 54
Hour 4 51
Hour 5 87
Hour 6 245
Hour 7 446
Hour 8 598
Hour 9 841
Hour 10 898
Hour 11 954
Hour 12 956
Hour 13 994
Hour 14 967
Hour 15 957
Hour 16 1004
Hour 17 911
Hour 18 958
Hour 19 1127
Hour 20 1481
Hour 21 1730
Hour 22 1746
Hour 23 1202
Date 17
Hour 0 608
Hour 1 514
Hour 2 290
Hour 3 104
Hour 4 73
Hour 5 90
Hour 6 248
Hour 7 454
Hour 8 639
Hour 9 988
Hour 10 1027
Hour 11 940
Hour 12 839
Hour 13 890
Hour 14 825
Hour 15 908
Hour 16 943
Hour 17 928
Hour 18 943
